Id,inv_no,Date,acct,ship_no,charge_type,Amount,ccy,tax,Status
IL901162,INV-50821,2025-03-19,P-1156,SH101009,BASE,115.70,GBP,23.14,PAID
IL901163,INV-50822,2025-11-06,P-1018,SH101010,BASE,438.25,GBP,87.65,PAID
IL901164,INV-50823,2025-12-13,P-1146,SH101011,BASE,566.03,GBP,113.21,PAID
IL901165,INV-50824,2025-07-21,P-1069,SH101014,BASE,1108.06,GBP,221.61,PAID
IL901166,INV-50824,2025-07-21,P-1069,SH101014,FUEL,82.57,GBP,16.51,PAID
IL901167,INV-50825,2025-12-13,P-1021,SH101015,BASE,138.82,GBP,27.76,OPEN
IL901168,INV-50826,2025-02-07,P-1140,SH101018,BASE,151.82,GBP,30.36,PAID
IL901169,INV-50827,2025-04-20,P-1194,SH101019,BASE,487.18,GBP,97.44,PAID
IL901170,INV-50828,2025-07-18,P-1068,SH101020,BASE,420.12,GBP,84.02,PAID
IL901171,INV-50829,2026-01-02,P-1154,SH101021,BASE,223.67,GBP,44.73,VOID
IL901172,INV-50829,2026-01-02,P-1154,SH101021,FUEL,29.24,GBP,5.85,VOID
IL901173,INV-50829,2026-01-02,P-1154,SH101021,ACCESSORIAL,10.72,GBP,2.14,VOID
IL901174,INV-50830,2025-02-27,P-1151,SH101022,BASE,430.64,GBP,86.13,PAID
IL901175,INV-50831,2026-04-01,P-1025,SH101023,BASE,268.54,GBP,53.71,OPEN
IL901176,INV-50831,2026-04-01,P-1025,SH101023,FUEL,23.63,GBP,4.73,OPEN
IL901177,INV-50832,2025-03-28,P-1020,SH101024,BASE,231.23,GBP,46.25,PAID
IL901178,INV-50832,2025-03-28,P-1020,SH101024,FUEL,27.59,GBP,5.52,PAID
IL901179,INV-50833,2025-06-25,P-1029,SH101025,BASE,326.26,GBP,65.25,PAID
IL901180,INV-50834,2026-04-06,P-1026,SH101028,BASE,50.31,GBP,10.06,PAID
IL901181,INV-50835,2025-03-03,P-1192,SH101030,BASE,397.21,EUR,79.44,OPEN
IL901182,INV-50835,2025-03-03,P-1192,SH101030,FUEL,34.05,EUR,6.81,OPEN
IL901183,INV-50836,2025-04-10,P-1238,SH101031,BASE,469.82,GBP,93.96,OPEN
IL901184,INV-50837,2025-09-24,P-1171,SH101032,BASE,107.06,GBP,21.41,OPEN
IL901185,INV-50838,2025-12-31,P-1036,SH101033,BASE,231.84,GBP,46.37,OPEN
IL901186,INV-50838,2025-12-31,P-1036,SH101033,FUEL,15.78,GBP,3.16,OPEN
IL901187,INV-50839,2026-05-03,P-1061,SH101034,BASE,188.83,GBP,37.77,VOID
IL901188,INV-50840,2026-04-23,P-1047,SH101035,BASE,87.41,GBP,17.48,CREDITED
IL901189,INV-50840,2026-04-23,P-1047,SH101035,ACCESSORIAL,51.64,GBP,10.33,CREDITED
IL901190,INV-50841,2025-04-26,P-1072,SH101036,BASE,45.42,EUR,9.08,CREDITED
IL901191,INV-50842,2025-08-12,P-1108,SH101037,BASE,347.12,GBP,69.42,OPEN
IL901192,INV-50843,2025-07-02,P-1089,SH101039,BASE,132.66,GBP,26.53,OPEN
IL901193,INV-50843,2025-07-02,P-1089,SH101039,ACCESSORIAL,17.58,GBP,3.52,OPEN
IL901194,INV-50844,2025-01-29,P-1049,SH101040,BASE,381.31,GBP,76.26,CREDITED
IL901195,INV-50845,2025-04-27,P-1191,SH101042,BASE,24.12,GBP,4.82,OPEN
IL901196,INV-50846,2025-12-05,P-1171,SH101043,BASE,39.75,GBP,7.95,PAID
IL901197,INV-50847,2025-06-14,P-1059,SH101045,BASE,217.46,GBP,43.49,OPEN
IL901198,INV-50847,2025-06-14,P-1059,SH101045,FUEL,18.33,GBP,3.67,OPEN
IL901199,INV-50848,2025-03-16,P-1137,SH101046,BASE,176.53,GBP,35.31,OPEN
IL901200,INV-50849,2025-05-22,P-1136,SH101047,BASE,358.11,GBP,71.62,PAID
IL901201,INV-50850,2025-09-28,P-1005,SH101049,BASE,265.63,EUR,53.13,PAID
IL901202,INV-50850,2025-09-28,P-1005,SH101049,ACCESSORIAL,26.04,EUR,5.21,PAID
IL901203,INV-50851,2025-03-15,P-1117,SH101053,BASE,184.79,GBP,36.96,PAID
IL901204,INV-50851,2025-03-15,P-1117,SH101053,FUEL,14.63,GBP,2.93,PAID
IL901205,INV-50852,2026-04-19,P-1099,SH101054,BASE,605.72,GBP,121.14,PAID
IL901206,INV-50853,2025-07-21,P-1168,SH101055,BASE,846.73,GBP,169.35,PAID
IL901207,INV-50854,2025-11-17,P-1218,SH101057,BASE,513.25,GBP,102.65,PAID
IL901208,INV-50854,2025-11-17,P-1218,SH101057,ACCESSORIAL,10.67,GBP,2.13,PAID
IL901209,INV-50855,2025-08-18,P-1061,SH101058,BASE,489.53,GBP,97.91,PAID
IL901210,INV-50856,2025-08-15,P-1061,SH101059,BASE,81.48,GBP,16.30,PAID
IL901211,INV-50856,2025-08-15,P-1061,SH101059,ACCESSORIAL,20.66,GBP,4.13,PAID
IL901212,INV-50857,2025-02-26,P-1105,SH101061,BASE,307.15,GBP,61.43,PAID
IL901213,INV-50858,2025-04-03,P-1172,SH101062,BASE,210.41,GBP,42.08,VOID
IL901214,INV-50858,2025-04-03,P-1172,SH101062,FUEL,17.98,GBP,3.60,VOID
IL901215,INV-50859,2026-03-14,P-1226,SH101063,BASE,747.96,GBP,149.59,OPEN
IL901216,INV-50860,2025-07-26,P-1174,SH101064,BASE,380.56,GBP,76.11,PAID
IL901217,INV-50860,2025-07-26,P-1174,SH101064,FUEL,50.51,GBP,10.10,PAID
IL901218,INV-50861,2026-01-12,P-1015,SH101065,BASE,321.11,EUR,64.22,PAID
IL901219,INV-50862,2026-06-01,P-1083,SH101067,BASE,498.91,GBP,99.78,PAID
IL901220,INV-50863,2025-11-18,P-1158,SH101068,BASE,407.26,GBP,81.45,OPEN
IL901221,INV-50863,2025-11-18,P-1158,SH101068,FUEL,50.86,GBP,10.17,OPEN
IL901222,INV-50864,2026-03-19,P-1116,SH101069,BASE,164.80,GBP,32.96,VOID
IL901223,INV-50864,2026-03-19,P-1116,SH101069,FUEL,20.77,GBP,4.15,VOID
IL901224,INV-50865,2025-10-24,P-1205,SH101070,BASE,420.56,GBP,84.11,OPEN
IL901225,INV-50866,2025-03-15,P-1160,SH101071,BASE,299.47,GBP,59.89,PAID
IL901226,INV-50867,2026-01-29,P-1209,SH101072,BASE,153.46,GBP,30.69,PAID
IL901227,INV-50868,2025-09-27,P-1085,SH101073,BASE,439.41,GBP,87.88,PAID
IL901228,INV-50868,2025-09-27,P-1085,SH101073,ACCESSORIAL,9.52,GBP,1.90,PAID
IL901229,INV-50869,2025-01-09,P-1224,SH101074,BASE,333.29,GBP,66.66,PAID
IL901230,INV-50869,2025-01-09,P-1224,SH101074,FUEL,20.79,GBP,4.16,PAID
IL901231,INV-50870,2026-02-22,P-1181,SH101075,BASE,32.44,GBP,6.49,PAID
IL901232,INV-50871,2026-03-19,P-1040,SH101076,BASE,621.54,GBP,124.31,CREDITED
IL901233,INV-50872,2025-10-20,P-1152,SH101078,BASE,38.40,GBP,7.68,PAID
IL901234,INV-50873,2025-06-19,P-1006,SH101079,BASE,46.14,GBP,9.23,OPEN
IL901235,INV-50873,2025-06-19,P-1006,SH101079,FUEL,2.79,GBP,0.56,OPEN
IL901236,INV-50874,2025-05-01,P-1175,SH101080,BASE,563.16,GBP,112.63,PAID
IL901237,INV-50875,2026-04-30,P-1192,SH101081,BASE,297.43,GBP,59.49,PAID
IL901238,INV-50876,2025-11-14,P-1128,SH101083,BASE,208.24,GBP,41.65,PAID
IL901239,INV-50877,2026-02-26,P-1105,SH101084,BASE,226.95,GBP,45.39,CREDITED
IL901240,INV-50877,2026-02-26,P-1105,SH101084,FUEL,18.24,GBP,3.65,CREDITED
IL901241,INV-50878,2026-05-12,P-1233,SH101085,BASE,940.78,GBP,188.16,PAID
IL901242,INV-50879,2025-07-03,P-1082,SH101086,BASE,727.35,GBP,145.47,PAID
IL901243,INV-50879,2025-07-03,P-1082,SH101086,ACCESSORIAL,44.89,GBP,8.98,PAID
IL901244,INV-50880,2025-07-01,P-1095,SH101087,BASE,873.20,GBP,174.64,PAID
IL901245,INV-50880,2025-07-01,P-1095,SH101087,FUEL,109.18,GBP,21.84,PAID
IL901246,INV-50881,2026-02-13,P-1227,SH101088,BASE,206.77,GBP,41.35,OPEN
IL901247,INV-50881,2026-02-13,P-1227,SH101088,FUEL,15.38,GBP,3.08,OPEN
IL901248,INV-50882,2026-05-05,P-1036,SH101089,BASE,235.48,GBP,47.10,PAID
IL901249,INV-50883,2025-05-11,P-1100,SH101090,BASE,513.10,EUR,102.62,OPEN
IL901250,INV-50883,2025-05-11,P-1100,SH101090,FUEL,45.81,EUR,9.16,OPEN
IL901251,INV-50884,2025-05-13,P-1091,SH101091,BASE,195.18,GBP,39.04,OPEN
IL901252,INV-50885,2025-03-02,P-1043,SH101092,BASE,188.80,EUR,37.76,PAID
IL901253,INV-50886,2025-05-12,P-1106,SH101093,BASE,196.90,GBP,39.38,PAID
IL901254,INV-50887,2025-06-15,P-1043,SH101094,BASE,181.58,GBP,36.32,PAID
IL901255,INV-50888,2026-04-10,P-1099,SH101095,BASE,505.46,GBP,101.09,CREDITED
IL901256,INV-50889,2026-02-04,P-1096,SH101096,BASE,64.45,GBP,12.89,PAID
IL901257,INV-50889,2026-02-04,P-1096,SH101096,FUEL,6.11,GBP,1.22,PAID
IL901258,INV-50890,2025-07-13,P-1216,SH101098,BASE,255.40,GBP,51.08,OPEN
IL901259,INV-50890,2025-07-13,P-1216,SH101098,FUEL,27.29,GBP,5.46,OPEN
IL901260,INV-50891,2026-04-28,P-1223,SH101099,BASE,182.64,GBP,36.53,PAID
IL901261,INV-50891,2026-04-28,P-1223,SH101099,FUEL,15.02,GBP,3.00,PAID
IL901262,INV-50892,2026-01-08,P-1134,SH101100,BASE,137.06,GBP,27.41,CREDITED
IL901263,INV-50892,2026-01-08,P-1134,SH101100,FUEL,14.98,GBP,3.00,CREDITED
IL901264,INV-50893,2025-04-25,P-1154,SH101101,BASE,321.16,GBP,64.23,PAID
IL901265,INV-50893,2025-04-25,P-1154,SH101101,FUEL,40.06,GBP,8.01,PAID
IL901266,INV-50894,2026-01-02,P-1109,SH101102,BASE,476.39,EUR,95.28,PAID
IL901267,INV-50895,2026-02-04,P-1127,SH101103,BASE,512.95,GBP,102.59,PAID
IL901268,INV-50895,2026-02-04,P-1127,SH101103,ACCESSORIAL,16.38,GBP,3.28,PAID
IL901269,INV-50896,2025-04-16,P-1094,SH101104,BASE,325.83,GBP,65.17,PAID
IL901270,INV-50896,2025-04-16,P-1094,SH101104,FUEL,19.67,GBP,3.93,PAID
IL901271,INV-50897,2025-02-11,P-1070,SH101106,BASE,220.96,GBP,44.19,PAID
IL901272,INV-50897,2025-02-11,P-1070,SH101106,FUEL,13.88,GBP,2.78,PAID
IL901273,INV-50898,2025-01-08,P-1212,SH101107,BASE,182.27,GBP,36.45,PAID
IL901274,INV-50898,2025-01-08,P-1212,SH101107,FUEL,15.98,GBP,3.20,PAID
IL901275,INV-50898,2025-01-08,P-1212,SH101107,ACCESSORIAL,52.30,GBP,10.46,PAID
IL901276,INV-50899,2025-07-27,P-1158,SH101108,BASE,159.38,EUR,31.88,PAID
IL901277,INV-50900,2025-08-23,P-1109,SH101109,BASE,169.57,GBP,33.91,CREDITED
IL901278,INV-50900,2025-08-23,P-1109,SH101109,FUEL,17.25,GBP,3.45,CREDITED
IL901279,INV-50901,2026-04-07,P-1180,SH101110,BASE,760.81,GBP,152.16,OPEN
IL901280,INV-50902,2026-05-08,P-1160,SH101111,BASE,461.35,GBP,92.27,PAID
IL901281,INV-50902,2026-05-08,P-1160,SH101111,FUEL,33.73,GBP,6.75,PAID
IL901282,INV-50903,2025-12-23,P-1198,SH101112,BASE,816.71,GBP,163.34,VOID
IL901283,INV-50904,2026-05-07,P-1037,SH101113,BASE,238.24,GBP,47.65,PAID
IL901284,INV-50904,2026-05-07,P-1037,SH101113,FUEL,18.75,GBP,3.75,PAID
IL901285,INV-50905,2025-10-16,P-1084,SH101114,BASE,177.57,GBP,35.51,PAID
IL901286,INV-50906,2025-11-26,P-1236,SH101115,BASE,86.20,GBP,17.24,PAID
IL901287,INV-50906,2025-11-26,P-1236,SH101115,FUEL,6.99,GBP,1.40,PAID
IL901288,INV-50907,2025-02-03,P-1180,SH101116,BASE,438.26,EUR,87.65,PAID
IL901289,INV-50908,2025-09-07,P-1010,SH101117,BASE,267.49,GBP,53.50,PAID
IL901290,INV-50909,2025-09-03,P-1213,SH101118,BASE,179.56,GBP,35.91,CREDITED
IL901291,INV-50910,2025-03-16,P-1240,SH101120,BASE,72.62,GBP,14.52,OPEN
IL901292,INV-50910,2025-03-16,P-1240,SH101120,FUEL,5.03,GBP,1.01,OPEN
IL901293,INV-50911,2026-01-25,P-1150,SH101122,BASE,126.18,EUR,25.24,PAID
IL901294,INV-50911,2026-01-25,P-1150,SH101122,FUEL,7.93,EUR,1.59,PAID
IL901295,INV-50912,2026-01-27,P-1145,SH101123,BASE,256.41,GBP,51.28,PAID
IL901296,INV-50913,2025-05-04,P-1117,SH101124,BASE,222.53,GBP,44.51,PAID
IL901297,INV-50913,2025-05-04,P-1117,SH101124,FUEL,14.74,GBP,2.95,PAID
IL901298,INV-50914,2025-03-26,P-1060,SH101125,BASE,332.85,GBP,66.57,PAID
IL901299,INV-50914,2025-03-26,P-1060,SH101125,ACCESSORIAL,23.32,GBP,4.66,PAID
IL901300,INV-50915,2026-04-25,P-1183,SH101126,BASE,207.33,GBP,41.47,PAID
IL901301,INV-50916,2025-12-03,P-1025,SH101128,BASE,558.75,GBP,111.75,OPEN
IL901302,INV-50917,2025-07-21,P-1213,SH101129,BASE,415.04,GBP,83.01,PAID
IL901303,INV-50917,2025-07-21,P-1213,SH101129,ACCESSORIAL,41.14,GBP,8.23,PAID
IL901304,INV-50918,2025-07-28,P-1181,SH101130,BASE,120.58,GBP,24.12,OPEN
IL901305,INV-50918,2025-07-28,P-1181,SH101130,ACCESSORIAL,32.74,GBP,6.55,OPEN
IL901306,INV-50919,2025-05-01,P-1180,SH101131,BASE,584.32,GBP,116.86,PAID
IL901307,INV-50920,2025-06-21,P-1236,SH101132,BASE,348.42,GBP,69.68,PAID
IL901308,INV-50921,2026-04-03,P-1128,SH101133,BASE,299.54,GBP,59.91,PAID
IL901309,INV-50922,2025-12-10,P-1071,SH101134,BASE,784.08,GBP,156.82,PAID
IL901310,INV-50923,2025-09-21,P-1235,SH101135,BASE,291.95,GBP,58.39,PAID
IL901311,INV-50923,2025-09-21,P-1235,SH101135,FUEL,37.27,GBP,7.45,PAID
IL901312,INV-50924,2026-01-29,P-1140,SH101136,BASE,381.16,GBP,76.23,PAID
IL901313,INV-50924,2026-01-29,P-1140,SH101136,FUEL,44.01,GBP,8.80,PAID
IL901314,INV-50925,2025-09-10,P-1057,SH101138,BASE,440.34,EUR,88.07,PAID
IL901315,INV-50926,2025-07-02,P-1086,SH101139,BASE,517.00,GBP,103.40,PAID
IL901316,INV-50927,2025-07-13,P-1111,SH101140,BASE,244.57,GBP,48.91,PAID
IL901317,INV-50927,2025-07-13,P-1111,SH101140,FUEL,24.49,GBP,4.90,PAID
IL901318,INV-50927,2025-07-13,P-1111,SH101140,ACCESSORIAL,15.76,GBP,3.15,PAID
IL901319,INV-50928,2025-09-16,P-1001,SH101141,BASE,233.73,GBP,46.75,PAID
IL901320,INV-50928,2025-09-16,P-1001,SH101141,FUEL,25.63,GBP,5.13,PAID
IL901321,INV-50929,2025-09-22,P-1091,SH101142,BASE,324.82,GBP,64.96,PAID
IL901322,INV-50930,2025-09-04,P-1050,SH101143,BASE,324.98,GBP,65.00,PAID
IL901323,INV-50930,2025-09-04,P-1050,SH101143,FUEL,36.27,GBP,7.25,PAID
IL901324,INV-50931,2025-07-28,P-1062,SH101144,BASE,864.18,GBP,172.84,CREDITED
IL901325,INV-50932,2025-07-21,P-1122,SH101145,BASE,298.82,GBP,59.76,PAID
IL901326,INV-50933,2025-07-17,P-1083,SH101146,BASE,40.56,GBP,8.11,VOID
IL901327,INV-50933,2025-07-17,P-1083,SH101146,FUEL,3.58,GBP,0.72,VOID
IL901328,INV-50934,2025-11-07,P-1155,SH101147,BASE,106.28,GBP,21.26,CREDITED
IL901329,INV-50935,2025-05-25,P-1017,SH101148,BASE,275.14,EUR,55.03,PAID
IL901330,INV-50935,2025-05-25,P-1017,SH101148,FUEL,37.51,EUR,7.50,PAID
IL901331,INV-50936,2025-05-18,P-1214,SH101149,BASE,812.32,GBP,162.46,OPEN
IL901332,INV-50937,2025-05-03,P-1044,SH101150,BASE,52.52,GBP,10.50,OPEN
IL901333,INV-50937,2025-05-03,P-1044,SH101150,FUEL,5.06,GBP,1.01,OPEN
IL901334,INV-50938,2025-06-12,P-1174,SH101151,BASE,295.96,GBP,59.19,PAID
IL901335,INV-50938,2025-06-12,P-1174,SH101151,FUEL,18.83,GBP,3.77,PAID
IL901336,INV-50939,2026-01-26,P-1112,SH101152,BASE,626.43,GBP,125.29,PAID
IL901337,INV-50939,2026-01-26,P-1112,SH101152,FUEL,62.08,GBP,12.42,PAID
IL901338,INV-50940,2025-05-20,P-1193,SH101153,BASE,222.72,GBP,44.54,PAID
IL901339,INV-50941,2025-04-10,P-1192,SH101154,BASE,757.02,GBP,151.40,PAID
IL901340,INV-50942,2026-01-26,P-1231,SH101155,BASE,110.19,GBP,22.04,PAID
IL901341,INV-50943,2025-07-22,P-1169,SH101157,BASE,517.81,GBP,103.56,PAID
IL901342,INV-50943,2025-07-22,P-1169,SH101157,FUEL,45.20,GBP,9.04,PAID
IL901343,INV-50944,2025-08-08,P-1202,SH101158,BASE,334.79,GBP,66.96,VOID
IL901344,INV-50944,2025-08-08,P-1202,SH101158,FUEL,26.26,GBP,5.25,VOID
IL901345,INV-50945,2025-12-02,P-1010,SH101160,BASE,672.57,EUR,134.51,PAID
IL901346,INV-50946,2025-09-12,P-1046,SH101161,BASE,228.33,GBP,45.67,PAID
IL901347,INV-50946,2025-09-12,P-1046,SH101161,FUEL,29.14,GBP,5.83,PAID
IL901348,INV-50947,2025-02-05,P-1012,SH101162,BASE,125.90,GBP,25.18,PAID
IL901349,INV-50947,2025-02-05,P-1012,SH101162,FUEL,11.67,GBP,2.33,PAID
IL901350,INV-50948,2026-02-21,P-1021,SH101163,BASE,383.70,GBP,76.74,PAID
IL901351,INV-50949,2025-03-22,P-1093,SH101164,BASE,42.43,GBP,8.49,OPEN
IL901352,INV-50949,2025-03-22,P-1093,SH101164,FUEL,4.10,GBP,0.82,OPEN
IL901353,INV-50950,2025-06-02,P-1199,SH101165,BASE,48.52,GBP,9.70,VOID
IL901354,INV-50951,2026-05-07,P-1202,SH101167,BASE,461.94,GBP,92.39,PAID
IL901355,INV-50951,2026-05-07,P-1202,SH101167,FUEL,38.40,GBP,7.68,PAID
IL901356,INV-50952,2025-08-27,P-1226,SH101168,BASE,288.27,GBP,57.65,PAID
IL901357,INV-50953,2025-09-12,P-1212,SH101169,BASE,205.45,GBP,41.09,PAID
IL901358,INV-50953,2025-09-12,P-1212,SH101169,FUEL,17.02,GBP,3.40,PAID
IL901359,INV-50954,2025-07-12,P-1043,SH101170,BASE,148.22,GBP,29.64,OPEN
IL901360,INV-50954,2025-07-12,P-1043,SH101170,FUEL,10.31,GBP,2.06,OPEN
IL901361,INV-50955,2026-03-20,P-1158,SH101172,BASE,570.80,GBP,114.16,PAID
IL901362,INV-50956,2025-05-14,P-1124,SH101173,BASE,401.03,GBP,80.21,OPEN
IL901363,INV-50957,2025-09-10,P-1099,SH101174,BASE,107.31,GBP,21.46,PAID
IL901364,INV-50958,2026-03-15,P-1067,SH101175,BASE,192.15,GBP,38.43,PAID
IL901365,INV-50959,2025-10-30,P-1220,SH101177,BASE,415.03,GBP,83.01,OPEN
IL901366,INV-50960,2025-06-16,P-1045,SH101178,BASE,487.98,GBP,97.60,OPEN
IL901367,INV-50961,2025-05-05,P-1121,SH101179,BASE,82.42,GBP,16.48,PAID
IL901368,INV-50962,2026-03-02,P-1211,SH101180,BASE,377.27,GBP,75.45,PAID
IL901369,INV-50963,2026-01-14,P-1033,SH101182,BASE,517.02,GBP,103.40,PAID
IL901370,INV-50963,2026-01-14,P-1033,SH101182,FUEL,63.76,GBP,12.75,PAID
IL901371,INV-50964,2025-07-06,P-1190,SH101183,BASE,631.75,GBP,126.35,PAID
IL901372,INV-50964,2025-07-06,P-1190,SH101183,FUEL,45.67,GBP,9.13,PAID
IL901373,INV-50965,2026-05-31,P-1041,SH101184,BASE,69.85,GBP,13.97,PAID
IL901374,INV-50965,2026-05-31,P-1041,SH101184,FUEL,4.80,GBP,0.96,PAID
IL901375,INV-50966,2025-02-17,P-1004,SH101185,BASE,33.73,GBP,6.75,PAID
IL901376,INV-50966,2025-02-17,P-1004,SH101185,FUEL,3.80,GBP,0.76,PAID
IL901377,INV-50967,2025-01-14,P-1166,SH101187,BASE,779.03,GBP,155.81,CREDITED
IL901378,INV-50968,2025-11-19,P-1171,SH101189,BASE,58.82,GBP,11.76,PAID
IL901379,INV-50969,2025-09-03,P-1016,SH101190,BASE,181.81,GBP,36.36,OPEN
IL901380,INV-50970,2025-06-18,P-1142,SH101192,BASE,566.41,EUR,113.28,PAID
IL901381,INV-50971,2026-03-20,P-1177,SH101193,BASE,167.35,GBP,33.47,OPEN
IL901382,INV-50972,2025-05-14,P-1208,SH101195,BASE,316.83,EUR,63.37,PAID
IL901383,INV-50973,2025-03-01,P-1145,SH101196,BASE,536.11,GBP,107.22,PAID
IL901384,INV-50974,2026-03-03,P-1129,SH101197,BASE,842.82,GBP,168.56,CREDITED
IL901385,INV-50974,2026-03-03,P-1129,SH101197,FUEL,64.61,GBP,12.92,CREDITED
IL901386,INV-50974,2026-03-03,P-1129,SH101197,ACCESSORIAL,52.57,GBP,10.51,CREDITED
IL901387,INV-50975,2026-04-28,P-1025,SH101198,BASE,598.23,GBP,119.65,PAID
IL901388,INV-50976,2025-07-17,P-1163,SH101199,BASE,80.11,GBP,16.02,PAID
IL901389,INV-50977,2025-02-13,P-1023,SH101200,BASE,67.65,EUR,13.53,OPEN
IL901390,INV-50978,2026-02-08,P-1038,SH101201,BASE,82.90,GBP,16.58,PAID
IL901391,INV-50979,2025-09-22,P-1208,SH101202,BASE,115.36,EUR,23.07,PAID
IL901392,INV-50979,2025-09-22,P-1208,SH101202,FUEL,8.49,EUR,1.70,PAID
IL901393,INV-50980,2025-11-03,P-1207,SH101204,BASE,23.12,GBP,4.62,PAID
IL901394,INV-50981,2025-06-27,P-1010,SH101205,BASE,38.01,GBP,7.60,PAID
IL901395,INV-50982,2025-12-15,P-1149,SH101206,BASE,279.94,GBP,55.99,PAID
IL901396,INV-50983,2026-04-13,P-1139,SH101207,BASE,191.02,GBP,38.20,PAID
IL901397,INV-50984,2025-05-24,P-1213,SH101208,BASE,56.79,GBP,11.36,OPEN
IL901398,INV-50985,2025-06-06,P-1003,SH101209,BASE,350.23,GBP,70.05,PAID
IL901399,INV-50986,2026-01-01,P-1184,SH101210,BASE,23.82,GBP,4.76,OPEN
IL901400,INV-50987,2025-01-26,P-1156,SH101211,BASE,1006.29,GBP,201.26,PAID
IL901401,INV-50988,2025-08-29,P-1221,SH101212,BASE,32.78,GBP,6.56,OPEN
IL901402,INV-50989,2025-09-22,P-1201,SH101213,BASE,880.59,GBP,176.12,PAID
IL901403,INV-50990,2025-04-25,P-1116,SH101215,BASE,32.55,GBP,6.51,VOID
IL901404,INV-50991,2026-05-05,P-1126,SH101216,BASE,440.49,GBP,88.10,OPEN
IL901405,INV-50991,2026-05-05,P-1126,SH101216,FUEL,27.58,GBP,5.52,OPEN
IL901406,INV-50992,2025-04-17,P-1160,SH101219,BASE,308.14,GBP,61.63,CREDITED
IL901407,INV-50992,2025-04-17,P-1160,SH101219,FUEL,36.98,GBP,7.40,CREDITED
IL901408,INV-50993,2025-08-13,P-1201,SH101220,BASE,704.46,GBP,140.89,PAID
IL901409,INV-50993,2025-08-13,P-1201,SH101220,FUEL,80.91,GBP,16.18,PAID
IL901410,INV-50994,2025-05-18,P-1088,SH101222,BASE,57.29,GBP,11.46,PAID
IL901411,INV-50994,2025-05-18,P-1088,SH101222,FUEL,6.70,GBP,1.34,PAID
IL901412,INV-50995,2025-05-03,P-1167,SH101223,BASE,201.09,GBP,40.22,PAID
IL901413,INV-50995,2025-05-03,P-1167,SH101223,FUEL,22.77,GBP,4.55,PAID
IL901414,INV-50996,2025-09-03,P-1062,SH101224,BASE,371.99,GBP,74.40,PAID
IL901415,INV-50996,2025-09-03,P-1062,SH101224,ACCESSORIAL,17.46,GBP,3.49,PAID
IL901416,INV-50997,2025-03-06,P-1232,SH101225,BASE,229.56,GBP,45.91,PAID
IL901417,INV-50998,2025-02-14,P-1179,SH101226,BASE,89.10,GBP,17.82,PAID
IL901418,INV-50998,2025-02-14,P-1179,SH101226,FUEL,5.99,GBP,1.20,PAID
IL901419,INV-50999,2026-03-14,P-1059,SH101227,BASE,121.54,GBP,24.31,OPEN
IL901420,INV-50999,2026-03-14,P-1059,SH101227,FUEL,13.21,GBP,2.64,OPEN
IL901421,INV-51000,2025-08-03,P-1191,SH101230,BASE,120.49,GBP,24.10,PAID
IL901422,INV-51001,2025-03-03,P-1191,SH101231,BASE,276.81,GBP,55.36,PAID
IL901423,INV-51001,2025-03-03,P-1191,SH101231,FUEL,27.05,GBP,5.41,PAID
IL901424,INV-51002,2025-12-25,P-1203,SH101232,BASE,208.47,GBP,41.69,PAID
IL901425,INV-51003,2026-04-20,P-1122,SH101233,BASE,615.86,GBP,123.17,CREDITED
IL901426,INV-51004,2025-09-05,P-1150,SH101234,BASE,337.56,GBP,67.51,PAID
IL901427,INV-51005,2026-02-02,P-1106,SH101236,BASE,429.60,GBP,85.92,PAID
IL901428,INV-51006,2025-03-15,P-1151,SH101237,BASE,37.90,GBP,7.58,PAID
IL901429,INV-51007,2026-01-22,P-1225,SH101238,BASE,244.05,EUR,48.81,PAID
IL901430,INV-51008,2025-05-04,P-1209,SH101241,BASE,519.41,GBP,103.88,PAID
IL901431,INV-51008,2025-05-04,P-1209,SH101241,FUEL,63.79,GBP,12.76,PAID
IL901432,INV-51009,2025-03-15,P-1169,SH101242,BASE,611.03,GBP,122.21,PAID
IL901433,INV-51009,2025-03-15,P-1169,SH101242,FUEL,65.95,GBP,13.19,PAID
IL901434,INV-51010,2025-01-27,P-1159,SH101245,BASE,87.35,GBP,17.47,PAID
IL901435,INV-51011,2026-04-28,P-1038,SH101246,BASE,455.56,GBP,91.11,PAID
IL901436,INV-51011,2026-04-28,P-1038,SH101246,FUEL,49.13,GBP,9.83,PAID
IL901437,INV-51012,2025-10-05,P-1110,SH101247,BASE,161.44,GBP,32.29,OPEN
IL901438,INV-51013,2025-06-18,P-1213,SH101248,BASE,225.70,GBP,45.14,PAID
IL901439,INV-51013,2025-06-18,P-1213,SH101248,FUEL,18.11,GBP,3.62,PAID
IL901440,INV-51014,2026-02-14,P-1172,SH101249,BASE,339.94,GBP,67.99,PAID
IL901441,INV-51014,2026-02-14,P-1172,SH101249,FUEL,42.83,GBP,8.57,PAID
IL901442,INV-51015,2025-12-24,P-1227,SH101250,BASE,880.60,GBP,176.12,OPEN
IL901443,INV-51016,2025-10-29,P-1136,SH101252,BASE,717.50,EUR,143.50,PAID
IL901444,INV-51016,2025-10-29,P-1136,SH101252,FUEL,71.25,EUR,14.25,PAID
IL901445,INV-51017,2025-09-18,P-1212,SH101253,BASE,27.11,GBP,5.42,PAID
IL901446,INV-51018,2025-11-25,P-1193,SH101254,BASE,365.41,GBP,73.08,PAID
