Id,cust_ref,Date,lane_id,Amount,accepted_flag
Q80493,P-1144,2026-05-06,LN0032,333.00,Y
Q80494,P-1179,2026-02-24,LN0138,626.55,Y
Q80495,P-1006,2025-06-23,LN0035,877.70,N
Q80496,P-1091,2025-01-05,LN0091,200.80,N
Q80497,P-1115,2025-07-03,LN0159,115.92,N
Q80498,P-1227,2025-01-03,LN0156,895.50,N
Q80499,P-1042,2025-09-09,LN0048,177.86,N
Q80500,P-1158,2025-07-31,LN0114,660.30,N
Q80501,P-1044,2025-09-20,LN0038,754.37,N
Q80502,P-1216,2025-12-27,LN0056,447.37,Y
Q80503,P-1077,2025-12-06,LN0027,742.66,Y
Q80504,P-1224,2025-09-07,LN0014,324.31,N
Q80505,P-1046,2026-01-10,LN0054,647.19,Y
Q80506,P-1229,2025-02-09,LN0039,554.50,Y
Q80507,P-1082,2025-03-06,LN0026,674.32,N
Q80508,P-1207,2025-11-20,LN0066,226.34,Y
Q80509,P-1073,2025-09-24,LN0013,361.29,N
Q80510,P-1134,2025-01-04,LN0140,201.08,N
Q80511,P-1159,2025-07-07,LN0120,432.78,N
Q80512,P-1170,2026-01-03,LN0101,843.69,Y
Q80513,P-1083,2025-05-14,LN0153,571.01,N
Q80514,P-1121,2025-09-01,LN0023,182.70,Y
Q80515,P-1125,2025-01-11,LN0091,691.41,N
Q80516,P-1030,2026-05-29,LN0048,68.95,N
Q80517,P-1165,2026-05-11,LN0022,616.68,N
Q80518,P-1143,2025-09-15,LN0005,766.74,N
Q80519,P-1161,2025-08-13,LN0154,429.49,N
Q80520,P-1205,2025-08-02,LN0122,576.09,N
Q80521,P-1140,2026-05-19,LN0019,857.33,N
Q80522,P-1047,2025-07-03,LN0052,622.05,Y
Q80523,P-1106,2025-07-12,LN0029,474.61,N
Q80524,P-1147,2026-01-26,LN0143,421.05,N
Q80525,P-1115,2025-09-02,LN0149,853.12,N
Q80526,P-1046,2025-12-03,LN0130,457.81,N
Q80527,P-1085,2025-12-17,LN0085,257.02,Y
Q80528,P-1214,2026-05-15,LN0150,304.20,N
Q80529,P-1094,2025-01-27,LN0025,810.70,N
Q80530,P-1204,2025-04-06,LN0088,744.09,N
Q80531,P-1134,2025-02-20,LN0052,479.38,Y
Q80532,P-1181,2025-05-19,LN0061,731.69,N
Q80533,P-1113,2025-09-18,LN0126,552.39,Y
Q80534,P-1099,2025-04-19,LN0155,700.93,N
Q80535,P-1077,2025-10-28,LN0158,352.66,N
Q80536,P-1174,2025-09-14,LN0015,275.06,N
Q80537,P-1224,2026-05-14,LN0136,554.64,N
Q80538,P-1081,2026-01-22,LN0046,425.13,Y
Q80539,P-1008,2026-04-18,LN0022,669.04,Y
Q80540,P-1175,2025-01-03,LN0059,774.49,Y
Q80541,P-1138,2025-08-25,LN0074,755.52,Y
Q80542,P-1132,2025-09-06,LN0097,802.56,N
Q80543,P-1041,2025-09-17,LN0090,233.13,Y
Q80544,P-1236,2025-07-13,LN0038,250.42,N
Q80545,P-1011,2025-11-21,LN0004,321.90,N
Q80546,P-1187,2026-04-27,LN0024,727.34,Y
Q80547,P-1077,2025-05-30,LN0055,423.99,Y
Q80548,P-1133,2025-04-04,LN0142,689.90,Y
Q80549,P-1003,2025-08-22,LN0078,36.75,Y
Q80550,P-1028,2026-03-09,LN0018,23.48,N
Q80551,P-1142,2026-05-11,LN0146,526.75,N
Q80552,P-1140,2025-03-08,LN0089,695.65,Y
Q80553,P-1142,2026-02-13,LN0081,120.22,N
Q80554,P-1123,2026-01-28,LN0136,759.53,N
Q80555,P-1050,2026-05-06,LN0062,60.17,N
Q80556,P-1080,2025-11-11,LN0038,838.37,N
Q80557,P-1095,2026-02-13,LN0039,621.64,N
Q80558,P-1237,2025-07-15,LN0014,401.62,Y
Q80559,P-1063,2026-04-09,LN0091,353.93,N
Q80560,P-1014,2025-03-10,LN0082,368.67,Y
Q80561,P-1043,2025-11-30,LN0051,623.15,N
Q80562,P-1104,2025-06-10,LN0092,473.79,N
Q80563,P-1002,2025-08-23,LN0076,277.21,N
Q80564,P-1036,2026-03-24,LN0040,777.95,N
Q80565,P-1148,2025-03-27,LN0006,302.67,N
Q80566,P-1188,2025-10-20,LN0130,188.77,Y
Q80567,P-1126,2026-04-27,LN0136,812.76,Y
Q80568,P-1120,2025-01-10,LN0124,689.18,N
Q80569,P-1079,2026-04-03,LN0059,623.29,Y
Q80570,P-1025,2025-05-16,LN0020,694.41,Y
Q80571,P-1020,2026-03-04,LN0128,97.62,N
Q80572,P-1111,2026-02-21,LN0005,125.70,Y
Q80573,P-1043,2025-09-29,LN0105,432.30,N
Q80574,P-1099,2025-08-21,LN0095,99.43,N
Q80575,P-1037,2025-04-30,LN0131,771.90,N
Q80576,P-1070,2025-11-21,LN0153,326.77,Y
Q80577,P-1171,2025-03-14,LN0106,171.32,Y
Q80578,P-1070,2025-02-18,LN0148,652.20,N
Q80579,P-1235,2026-05-28,LN0050,343.46,Y
Q80580,P-1125,2026-03-09,LN0039,80.51,N
Q80581,P-1226,2025-03-20,LN0070,641.73,Y
Q80582,P-1211,2025-04-18,LN0112,848.42,N
Q80583,P-1059,2026-02-17,LN0095,503.25,N
Q80584,P-1101,2025-11-01,LN0012,117.54,N
Q80585,P-1236,2025-09-17,LN0111,207.86,N
Q80586,P-1173,2026-01-29,LN0019,704.53,N
Q80587,P-1166,2025-02-04,LN0130,106.45,N
Q80588,P-1055,2026-02-27,LN0030,496.47,N
Q80589,P-1072,2025-10-21,LN0101,682.22,N
Q80590,P-1226,2025-05-24,LN0059,806.13,N
Q80591,P-1216,2025-10-21,LN0140,305.66,N
Q80592,P-1172,2025-10-09,LN0101,890.44,N
Q80593,P-1227,2025-02-12,LN0080,176.28,N
Q80594,P-1064,2025-12-19,LN0005,275.40,N
Q80595,P-1079,2025-12-02,LN0037,893.99,N
Q80596,P-1161,2025-05-30,LN0048,789.57,N
Q80597,P-1225,2025-09-07,LN0089,343.33,N
Q80598,P-1120,2025-03-08,LN0027,442.82,Y
Q80599,P-1068,2025-01-22,LN0153,891.92,Y
Q80600,P-1105,2025-06-06,LN0030,418.13,N
Q80601,P-1126,2025-10-24,LN0099,17.97,Y
Q80602,P-1056,2025-12-23,LN0149,807.92,N
Q80603,P-1039,2025-03-12,LN0020,670.80,N
Q80604,P-1045,2025-06-06,LN0048,338.17,Y
Q80605,P-1033,2025-03-27,LN0002,360.27,N
Q80606,P-1125,2025-01-24,LN0078,858.71,Y
Q80607,P-1179,2026-03-07,LN0143,43.22,N
Q80608,P-1170,2025-07-19,LN0063,583.43,N
Q80609,P-1033,2026-05-14,LN0149,653.62,N
Q80610,P-1079,2025-01-27,LN0122,123.66,N
Q80611,P-1099,2025-07-02,LN0128,597.10,N
Q80612,P-1171,2025-12-26,LN0059,537.16,N
Q80613,P-1122,2025-08-22,LN0100,805.28,Y
Q80614,P-1077,2026-02-12,LN0047,317.39,N
Q80615,P-1044,2025-06-17,LN0010,26.81,N
Q80616,P-1210,2025-03-31,LN0131,702.69,Y
Q80617,P-1122,2025-04-13,LN0110,413.38,Y
Q80618,P-1198,2025-07-04,LN0062,849.13,N
Q80619,P-1237,2025-10-04,LN0086,353.32,N
Q80620,P-1003,2025-07-05,LN0151,459.65,N
Q80621,P-1196,2025-01-19,LN0006,218.93,Y
Q80622,P-1225,2025-12-22,LN0017,131.85,Y
Q80623,P-1107,2025-06-02,LN0109,788.89,Y
Q80624,P-1052,2026-02-07,LN0034,201.40,N
Q80625,P-1008,2026-05-18,LN0155,540.75,N
Q80626,P-1091,2026-05-09,LN0069,66.54,N
Q80627,P-1125,2026-02-08,LN0105,540.85,N
Q80628,P-1046,2025-10-04,LN0142,799.72,N
Q80629,P-1092,2025-06-09,LN0099,617.14,Y
Q80630,P-1027,2026-03-18,LN0020,579.22,N
Q80631,P-1043,2026-04-27,LN0115,678.26,N
Q80632,P-1176,2026-01-21,LN0103,334.34,N
Q80633,P-1003,2025-01-10,LN0056,292.62,Y
Q80634,P-1161,2025-05-16,LN0147,772.83,Y
Q80635,P-1180,2025-11-16,LN0130,490.08,N
Q80636,P-1012,2025-08-13,LN0016,532.72,Y
Q80637,P-1240,2026-05-28,LN0057,289.09,Y
Q80638,P-1219,2025-08-24,LN0129,413.06,N
Q80639,P-1003,2025-12-25,LN0057,316.50,Y
Q80640,P-1233,2026-01-15,LN0077,737.14,N
Q80641,P-1024,2025-06-30,LN0093,188.33,N
Q80642,P-1083,2025-01-30,LN0023,307.05,N
Q80643,P-1066,2025-05-13,LN0009,521.96,N
Q80644,P-1056,2025-08-31,LN0019,322.54,N
Q80645,P-1235,2025-05-16,LN0116,401.67,N
Q80646,P-1175,2025-08-03,LN0076,798.20,Y
Q80647,P-1135,2025-12-11,LN0093,54.16,Y
Q80648,P-1092,2025-12-02,LN0081,424.14,Y
Q80649,P-1237,2025-11-05,LN0044,749.68,N
Q80650,P-1055,2025-07-17,LN0081,357.05,N
Q80651,P-1160,2025-06-05,LN0053,651.06,Y
Q80652,P-1133,2026-03-03,LN0024,323.32,N
Q80653,P-1224,2026-04-11,LN0098,70.02,Y
Q80654,P-1230,2026-05-14,LN0050,168.68,N
Q80655,P-1190,2026-04-27,LN0036,350.18,Y
Q80656,P-1072,2026-04-16,LN0075,806.50,N
Q80657,P-1008,2025-05-24,LN0049,56.16,N
Q80658,P-1018,2026-05-05,LN0120,291.83,N
Q80659,P-1117,2026-05-04,LN0090,584.45,N
Q80660,P-1127,2026-05-16,LN0002,604.16,Y
Q80661,P-1203,2025-06-13,LN0112,335.43,N
Q80662,P-1211,2025-12-09,LN0100,116.97,N
Q80663,P-1105,2026-03-17,LN0060,531.47,N
Q80664,P-1146,2025-10-03,LN0031,387.59,N
Q80665,P-1192,2025-11-10,LN0148,860.72,Y
Q80666,P-1079,2026-05-10,LN0047,212.43,N
Q80667,P-1032,2025-07-06,LN0144,849.17,N
Q80668,P-1223,2026-03-19,LN0118,180.92,N
Q80669,P-1206,2026-03-30,LN0107,99.24,N
Q80670,P-1228,2025-08-24,LN0051,30.77,N
Q80671,P-1074,2025-11-06,LN0034,287.21,N
Q80672,P-1223,2025-07-21,LN0034,44.92,N
Q80673,P-1006,2025-07-04,LN0132,538.51,N
Q80674,P-1086,2025-05-20,LN0116,394.13,N
Q80675,P-1232,2025-09-02,LN0057,853.98,N
Q80676,P-1048,2025-04-29,LN0148,407.35,N
Q80677,P-1106,2025-05-28,LN0148,871.14,N
Q80678,P-1145,2025-05-10,LN0001,737.48,N
Q80679,P-1017,2025-05-12,LN0084,296.95,Y
Q80680,P-1110,2025-06-09,LN0140,516.35,N
Q80681,P-1111,2025-07-12,LN0050,378.73,N
Q80682,P-1060,2025-02-09,LN0008,445.20,Y
Q80683,P-1131,2026-03-26,LN0121,488.81,Y
Q80684,P-1010,2025-10-28,LN0030,30.53,Y
Q80685,P-1197,2025-02-07,LN0143,680.07,N
Q80686,P-1213,2025-03-29,LN0035,601.14,Y
Q80687,P-1101,2025-07-31,LN0148,715.59,N
Q80688,P-1174,2025-05-19,LN0047,812.12,Y
Q80689,P-1163,2025-02-18,LN0096,753.11,Y
Q80690,P-1027,2026-04-23,LN0018,338.18,N
Q80691,P-1095,2025-05-12,LN0157,154.03,N
Q80692,P-1035,2026-05-08,LN0056,791.98,Y
Q80693,P-1042,2025-01-12,LN0140,238.08,N
Q80694,P-1201,2026-03-12,LN0065,80.22,N
Q80695,P-1073,2026-05-25,LN0067,778.07,N
Q80696,P-1174,2026-05-04,LN0013,666.64,N
Q80697,P-1170,2026-05-10,LN0070,150.56,N
Q80698,P-1060,2025-09-12,LN0120,374.81,N
Q80699,P-1172,2025-07-30,LN0080,174.92,Y
Q80700,P-1206,2026-02-12,LN0055,78.58,Y
