Id,cust_ref,req_date,window_start,window_end,Status
PU50446,P-1072,2025-05-30,07:00,16:00,FULFILLED
PU50447,P-1215,2026-03-12,11:00,18:00,FULFILLED
PU50448,P-1138,2026-01-02,07:00,15:00,MISSED
PU50449,P-1135,2025-08-12,09:00,14:00,CANCELLED
PU50450,P-1198,2025-08-29,09:00,15:00,CANCELLED
PU50451,P-1209,2025-02-27,07:00,13:00,MISSED
PU50452,P-1186,2025-07-09,09:00,15:00,CANCELLED
PU50453,P-1074,2025-01-23,10:00,14:00,CANCELLED
PU50454,P-1137,2025-09-28,08:00,17:00,MISSED
PU50455,P-1049,2025-06-08,10:00,17:00,CANCELLED
PU50456,P-1112,2025-05-31,08:00,18:00,CANCELLED
PU50457,P-1135,2025-02-06,11:00,15:00,FULFILLED
PU50458,P-1047,2026-01-15,09:00,17:00,MISSED
PU50459,P-1150,2025-09-04,10:00,16:00,CANCELLED
PU50460,P-1213,2025-09-21,09:00,18:00,MISSED
PU50461,P-1214,2025-12-11,07:00,14:00,CANCELLED
PU50462,P-1227,2025-12-19,07:00,14:00,FULFILLED
PU50463,P-1100,2025-03-01,09:00,15:00,MISSED
PU50464,P-1135,2025-07-19,10:00,16:00,CANCELLED
PU50465,P-1217,2026-02-15,09:00,16:00,FULFILLED
PU50466,P-1120,2026-03-29,09:00,13:00,FULFILLED
PU50467,P-1135,2025-07-30,08:00,14:00,CANCELLED
PU50468,P-1147,2026-03-08,08:00,14:00,FULFILLED
PU50469,P-1134,2025-10-01,11:00,16:00,FULFILLED
PU50470,P-1123,2025-09-13,09:00,13:00,CANCELLED
PU50471,P-1227,2025-11-19,11:00,15:00,FULFILLED
PU50472,P-1144,2026-03-06,07:00,15:00,MISSED
PU50473,P-1176,2025-08-19,11:00,16:00,FULFILLED
PU50474,P-1121,2026-02-01,07:00,14:00,MISSED
PU50475,P-1041,2026-01-23,10:00,17:00,FULFILLED
PU50476,P-1184,2026-05-14,08:00,13:00,CANCELLED
PU50477,P-1014,2025-09-28,11:00,14:00,MISSED
PU50478,P-1055,2025-08-19,11:00,17:00,FULFILLED
PU50479,P-1030,2025-08-21,07:00,18:00,MISSED
PU50480,P-1150,2025-03-14,07:00,14:00,MISSED
PU50481,P-1137,2025-07-26,10:00,13:00,MISSED
PU50482,P-1131,2025-11-06,11:00,14:00,MISSED
PU50483,P-1010,2025-05-05,10:00,13:00,MISSED
PU50484,P-1199,2025-10-19,10:00,14:00,FULFILLED
PU50485,P-1178,2025-04-08,08:00,16:00,CANCELLED
PU50486,P-1021,2025-04-29,10:00,17:00,FULFILLED
PU50487,P-1082,2025-03-31,07:00,18:00,MISSED
PU50488,P-1053,2026-02-19,11:00,14:00,MISSED
PU50489,P-1157,2025-03-18,10:00,13:00,CANCELLED
PU50490,P-1224,2026-01-08,10:00,14:00,MISSED
PU50491,P-1227,2025-12-01,07:00,13:00,MISSED
PU50492,P-1163,2025-11-08,10:00,16:00,MISSED
PU50493,P-1047,2025-09-21,09:00,16:00,MISSED
PU50494,P-1090,2025-07-30,08:00,14:00,FULFILLED
PU50495,P-1184,2025-04-09,09:00,17:00,FULFILLED
PU50496,P-1058,2026-01-04,08:00,18:00,MISSED
PU50497,P-1182,2025-06-05,07:00,17:00,MISSED
PU50498,P-1049,2026-04-01,08:00,14:00,FULFILLED
PU50499,P-1068,2025-11-29,11:00,13:00,CANCELLED
PU50500,P-1176,2025-11-02,10:00,18:00,MISSED
PU50501,P-1130,2025-04-05,10:00,18:00,CANCELLED
PU50502,P-1026,2025-09-18,07:00,13:00,CANCELLED
PU50503,P-1098,2025-08-18,11:00,16:00,FULFILLED
PU50504,P-1180,2026-04-12,08:00,15:00,FULFILLED
PU50505,P-1205,2025-11-02,10:00,18:00,FULFILLED
PU50506,P-1077,2025-07-03,11:00,15:00,FULFILLED
PU50507,P-1016,2025-03-17,07:00,14:00,MISSED
PU50508,P-1090,2026-04-29,08:00,15:00,CANCELLED
PU50509,P-1040,2025-03-20,10:00,15:00,MISSED
PU50510,P-1223,2026-05-14,08:00,17:00,MISSED
PU50511,P-1192,2026-01-06,08:00,18:00,MISSED
PU50512,P-1132,2025-08-10,07:00,14:00,FULFILLED
PU50513,P-1135,2025-04-09,09:00,16:00,FULFILLED
PU50514,P-1050,2025-10-31,08:00,13:00,FULFILLED
PU50515,P-1133,2025-02-07,11:00,14:00,CANCELLED
PU50516,P-1163,2025-07-23,08:00,18:00,MISSED
PU50517,P-1001,2026-04-01,11:00,16:00,FULFILLED
PU50518,P-1221,2025-10-20,08:00,14:00,CANCELLED
PU50519,P-1003,2025-07-14,11:00,18:00,MISSED
PU50520,P-1121,2025-01-15,11:00,13:00,MISSED
PU50521,P-1206,2025-05-15,11:00,17:00,FULFILLED
PU50522,P-1227,2025-10-27,11:00,18:00,FULFILLED
PU50523,P-1128,2026-02-15,09:00,16:00,CANCELLED
PU50524,P-1218,2026-02-13,10:00,17:00,CANCELLED
PU50525,P-1033,2025-10-13,09:00,15:00,MISSED
PU50526,P-1223,2026-02-14,07:00,17:00,CANCELLED
PU50527,P-1237,2026-04-02,07:00,14:00,CANCELLED
PU50528,P-1183,2025-11-10,10:00,14:00,MISSED
PU50529,P-1057,2025-12-23,10:00,15:00,FULFILLED
PU50530,P-1008,2026-03-17,09:00,14:00,FULFILLED
PU50531,P-1192,2025-05-11,07:00,14:00,MISSED
PU50532,P-1024,2025-05-06,07:00,18:00,FULFILLED
PU50533,P-1027,2025-03-29,07:00,13:00,CANCELLED
PU50534,P-1088,2025-05-29,11:00,14:00,CANCELLED
PU50535,P-1061,2026-04-03,09:00,15:00,MISSED
PU50536,P-1053,2025-07-20,07:00,16:00,FULFILLED
PU50537,P-1062,2025-02-21,07:00,15:00,MISSED
PU50538,P-1138,2026-05-30,11:00,14:00,CANCELLED
PU50539,P-1189,2026-03-05,09:00,16:00,CANCELLED
PU50540,P-1236,2025-05-09,09:00,17:00,CANCELLED
PU50541,P-1046,2025-04-22,09:00,16:00,FULFILLED
PU50542,P-1006,2025-09-02,09:00,17:00,FULFILLED
PU50543,P-1037,2025-01-10,07:00,18:00,CANCELLED
PU50544,P-1123,2025-02-18,08:00,14:00,CANCELLED
PU50545,P-1206,2025-05-03,08:00,13:00,FULFILLED
PU50546,P-1023,2025-03-14,09:00,16:00,CANCELLED
PU50547,P-1073,2025-04-30,09:00,13:00,MISSED
PU50548,P-1127,2026-05-29,08:00,16:00,FULFILLED
PU50549,P-1060,2026-02-24,09:00,14:00,CANCELLED
PU50550,P-1003,2025-11-23,09:00,18:00,MISSED
PU50551,P-1063,2025-10-29,07:00,15:00,CANCELLED
PU50552,P-1206,2026-05-20,10:00,16:00,CANCELLED
PU50553,P-1179,2026-02-11,09:00,16:00,MISSED
PU50554,P-1228,2025-11-21,07:00,17:00,MISSED
PU50555,P-1192,2025-11-09,08:00,17:00,MISSED
PU50556,P-1178,2025-10-12,08:00,14:00,MISSED
PU50557,P-1059,2026-05-13,09:00,13:00,FULFILLED
PU50558,P-1229,2025-10-30,09:00,15:00,CANCELLED
PU50559,P-1068,2025-03-28,10:00,18:00,FULFILLED
PU50560,P-1066,2025-04-08,08:00,14:00,FULFILLED
PU50561,P-1146,2025-11-30,10:00,16:00,CANCELLED
PU50562,P-1090,2025-07-09,09:00,16:00,FULFILLED
PU50563,P-1137,2025-07-30,07:00,13:00,MISSED
PU50564,P-1208,2025-10-18,09:00,16:00,FULFILLED
PU50565,P-1237,2026-05-31,11:00,16:00,FULFILLED
PU50566,P-1084,2026-04-27,07:00,15:00,FULFILLED
PU50567,P-1222,2025-12-24,08:00,13:00,CANCELLED
PU50568,P-1035,2025-05-01,10:00,14:00,FULFILLED
PU50569,P-1192,2025-11-18,07:00,15:00,CANCELLED
PU50570,P-1116,2025-05-24,10:00,14:00,FULFILLED
PU50571,P-1046,2025-06-01,09:00,17:00,MISSED
PU50572,P-1211,2026-02-18,10:00,16:00,FULFILLED
PU50573,P-1132,2025-05-13,09:00,16:00,MISSED
PU50574,P-1211,2025-10-08,07:00,16:00,CANCELLED
PU50575,P-1007,2025-02-07,11:00,13:00,FULFILLED
PU50576,P-1220,2025-11-11,11:00,16:00,CANCELLED
PU50577,P-1051,2025-05-16,11:00,18:00,FULFILLED
PU50578,P-1218,2025-02-25,10:00,15:00,MISSED
PU50579,P-1119,2025-03-12,09:00,18:00,MISSED
PU50580,P-1239,2026-02-11,07:00,15:00,CANCELLED
PU50581,P-1109,2025-06-02,11:00,13:00,FULFILLED
PU50582,P-1170,2025-10-11,11:00,15:00,CANCELLED
PU50583,P-1081,2025-07-29,10:00,17:00,FULFILLED
PU50584,P-1024,2026-04-14,10:00,15:00,MISSED
PU50585,P-1225,2025-07-13,08:00,18:00,CANCELLED
PU50586,P-1010,2025-07-30,10:00,18:00,CANCELLED
PU50587,P-1028,2025-01-03,10:00,14:00,CANCELLED
PU50588,P-1082,2026-05-15,10:00,16:00,FULFILLED
PU50589,P-1028,2025-05-08,11:00,14:00,CANCELLED
PU50590,P-1232,2025-03-27,09:00,18:00,FULFILLED
PU50591,P-1022,2025-08-27,08:00,13:00,FULFILLED
PU50592,P-1110,2025-07-02,10:00,13:00,CANCELLED
PU50593,P-1231,2025-12-13,11:00,18:00,FULFILLED
PU50594,P-1107,2025-05-06,07:00,17:00,CANCELLED
PU50595,P-1062,2025-10-12,11:00,17:00,CANCELLED
PU50596,P-1230,2025-03-31,08:00,16:00,CANCELLED
PU50597,P-1028,2026-05-18,10:00,14:00,FULFILLED
PU50598,P-1059,2025-10-26,10:00,18:00,MISSED
PU50599,P-1079,2025-08-15,08:00,15:00,CANCELLED
PU50600,P-1219,2025-11-09,09:00,17:00,MISSED
PU50601,P-1224,2025-07-21,07:00,16:00,FULFILLED
PU50602,P-1223,2025-08-15,09:00,16:00,CANCELLED
PU50603,P-1162,2026-03-27,11:00,18:00,FULFILLED
PU50604,P-1137,2026-05-07,09:00,18:00,FULFILLED
PU50605,P-1218,2026-05-12,09:00,16:00,MISSED
PU50606,P-1190,2025-08-11,07:00,14:00,MISSED
PU50607,P-1110,2025-05-13,09:00,18:00,CANCELLED
PU50608,P-1015,2025-06-07,08:00,15:00,MISSED
PU50609,P-1210,2025-03-10,07:00,14:00,CANCELLED
PU50610,P-1071,2026-01-29,11:00,18:00,CANCELLED
PU50611,P-1162,2025-06-23,09:00,15:00,MISSED
PU50612,P-1177,2026-03-02,10:00,18:00,FULFILLED
PU50613,P-1221,2025-03-29,11:00,16:00,CANCELLED
PU50614,P-1079,2025-01-12,10:00,15:00,FULFILLED
PU50615,P-1228,2025-08-13,10:00,15:00,MISSED
PU50616,P-1013,2026-03-16,07:00,14:00,MISSED
PU50617,P-1017,2026-03-20,11:00,14:00,CANCELLED
PU50618,P-1208,2025-06-01,08:00,18:00,CANCELLED
PU50619,P-1175,2026-02-14,09:00,16:00,FULFILLED
PU50620,P-1149,2026-02-20,11:00,15:00,FULFILLED
PU50621,P-1150,2025-06-22,11:00,14:00,MISSED
PU50622,P-1234,2025-03-12,09:00,14:00,CANCELLED
PU50623,P-1116,2025-09-12,09:00,17:00,FULFILLED
PU50624,P-1056,2025-03-07,10:00,15:00,FULFILLED
PU50625,P-1147,2026-04-16,10:00,17:00,FULFILLED
PU50626,P-1178,2026-01-27,09:00,17:00,FULFILLED
PU50627,P-1234,2026-02-06,08:00,18:00,MISSED
PU50628,P-1013,2025-02-08,08:00,14:00,FULFILLED
PU50629,P-1194,2025-02-12,11:00,15:00,MISSED
PU50630,P-1035,2025-02-24,10:00,15:00,MISSED
PU50631,P-1048,2026-03-20,07:00,13:00,MISSED
PU50632,P-1184,2025-02-05,10:00,15:00,CANCELLED
PU50633,P-1055,2025-06-21,08:00,17:00,CANCELLED
PU50634,P-1106,2025-01-08,10:00,15:00,MISSED
PU50635,P-1194,2025-11-16,09:00,14:00,FULFILLED
PU50636,P-1065,2025-07-07,09:00,13:00,CANCELLED
PU50637,P-1198,2025-03-29,08:00,13:00,FULFILLED
PU50638,P-1217,2025-08-08,11:00,16:00,CANCELLED
PU50639,P-1121,2026-05-30,11:00,14:00,FULFILLED
PU50640,P-1127,2025-05-18,10:00,13:00,MISSED
